domain,product_title,canonical_url,public_product_id,public_variant_id,public_sku_id,category,strength_size_options,current_price,compare_at_list_price,currency,stock_status,backorder,min_purchase,max_purchase,exact_public_quantity,source_url,extraction_method,captured_at,confidence,caveat
licensedpeptides.com,Reconstitution Solution,https://licensedpeptides.com/product/reconstitution-solution/?attribute_select-mg=10ml&attribute_pack=10+pack,42860,42868,BA1010P-1,Bac Water,"Select mg: 10ml, pack: 10 pack",89.8,149.67,USD,in_stock,no,1,9999,,https://licensedpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:24.110Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record. | Prior rendered UI state: account-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted."
licensedpeptides.com,Reconstitution Solution,https://licensedpeptides.com/product/reconstitution-solution/?attribute_select-mg=10ml&attribute_pack=5+pack,42860,42867,BA105P-1,Bac Water,"Select mg: 10ml, pack: 5 pack",52.4,74.86,USD,in_stock,no,1,9999,,https://licensedpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:24.110Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record. | Prior rendered UI state: account-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted."
licensedpeptides.com,Reconstitution Solution,https://licensedpeptides.com/product/reconstitution-solution/?attribute_select-mg=10ml&attribute_pack=3+pack,42860,42866,BA103P-1,Bac Water,"Select mg: 10ml, pack: 3 pack",37.29,44.93,USD,in_stock,no,1,9999,,https://licensedpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:24.110Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record. | Prior rendered UI state: account-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted."
licensedpeptides.com,Reconstitution Solution,https://licensedpeptides.com/product/reconstitution-solution/?attribute_select-mg=10ml&attribute_pack=1+pack,42860,42865,BA10-1,Bac Water,"Select mg: 10ml, pack: 1 pack",14.99,16.66,USD,in_stock,no,1,9999,,https://licensedpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:24.110Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record. | Prior rendered UI state: account-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted."
licensedpeptides.com,Reconstitution Solution,https://licensedpeptides.com/product/reconstitution-solution/?attribute_select-mg=3ml&attribute_pack=10+pack,42860,42864,BA310P-1,Bac Water,"Select mg: 3ml, pack: 10 pack",47.8,79.67,USD,in_stock,no,1,9999,,https://licensedpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:24.110Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record. | Prior rendered UI state: account-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted."
licensedpeptides.com,Reconstitution Solution,https://licensedpeptides.com/product/reconstitution-solution/?attribute_select-mg=3ml&attribute_pack=5+pack,42860,42863,BA35P-1,Bac Water,"Select mg: 3ml, pack: 5 pack",27.9,39.86,USD,in_stock,no,1,9999,,https://licensedpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:24.110Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record. | Prior rendered UI state: account-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted."
licensedpeptides.com,Reconstitution Solution,https://licensedpeptides.com/product/reconstitution-solution/?attribute_select-mg=3ml&attribute_pack=3+pack,42860,42862,BA33P-1,Bac Water,"Select mg: 3ml, pack: 3 pack",19.86,23.93,USD,in_stock,no,1,9999,,https://licensedpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:24.110Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record. | Prior rendered UI state: account-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted."
licensedpeptides.com,Reconstitution Solution,https://licensedpeptides.com/product/reconstitution-solution/?attribute_select-mg=3ml&attribute_pack=1+pack,42860,42861,BA3-1,Bac Water,"Select mg: 3ml, pack: 1 pack",7.99,8.88,USD,in_stock,no,1,9999,,https://licensedpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:24.110Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record. | Prior rendered UI state: account-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted."
licensedpeptides.com,ARA – 290,https://licensedpeptides.com/product/ara-290/?attribute_select-mg=16mg&attribute_pack=5+pack,39243,39360,RA165P,Healing Peptides | Popular Peptides,"Select mg: 16mg, pack: 5 pack",332.47,474.95,USD,in_stock,no,1,9999,,https://licensedpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:24.110Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record. | Prior rendered UI state: account-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted."
licensedpeptides.com,ARA – 290,https://licensedpeptides.com/product/ara-290/?attribute_select-mg=16mg&attribute_pack=10+pack,39243,39251,RA1610P,Healing Peptides | Popular Peptides,"Select mg: 16mg, pack: 10 pack",550.94,949.9,USD,in_stock,no,1,9999,,https://licensedpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:24.110Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record. | Prior rendered UI state: account-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted."
licensedpeptides.com,ARA – 290,https://licensedpeptides.com/product/ara-290/?attribute_select-mg=16mg&attribute_pack=3+pack,39243,39250,RA163P,Healing Peptides | Popular Peptides,"Select mg: 16mg, pack: 3 pack",235.79,284.07,USD,in_stock,no,1,9999,,https://licensedpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:24.110Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record. | Prior rendered UI state: account-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted."
licensedpeptides.com,ARA – 290,https://licensedpeptides.com/product/ara-290/?attribute_select-mg=16mg&attribute_pack=1+pack,39243,39248,RA16,Healing Peptides | Popular Peptides,"Select mg: 16mg, pack: 1 pack",94.99,104.49,USD,in_stock,no,1,9999,,https://licensedpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:24.110Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record. | Prior rendered UI state: account-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted."
licensedpeptides.com,HGH 10iu,https://licensedpeptides.com/?post_type=product&p=5064&attribute_select-mg=10mg&attribute_pack=1+pack,5064,34424,H10,,"Select mg: 10mg, pack: 1 pack",61.19,67.99,USD,in_stock,no,1,9999,,https://licensedpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,woocommerce_store_api_orphan_variation,2026-07-28T01:57:24.110Z,medium,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record. | This variation is publicly exposed by the fully paginated WooCommerce variation feed, but its parent is absent from the current public parent-product feed. It may be stale or orphaned and is excluded from product counts. | Prior rendered UI state: account-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted."
licensedpeptides.com,HGH 10iu,https://licensedpeptides.com/?post_type=product&p=5064&attribute_select-mg=10mg&attribute_pack=3+pack,5064,34423,H103P,,"Select mg: 10mg, pack: 3 pack",153.3,184.7,USD,in_stock,no,1,9999,,https://licensedpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,woocommerce_store_api_orphan_variation,2026-07-28T01:57:24.110Z,medium,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record. | This variation is publicly exposed by the fully paginated WooCommerce variation feed, but its parent is absent from the current public parent-product feed. It may be stale or orphaned and is excluded from product counts. | Prior rendered UI state: account-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted."
