domain,product_title,canonical_url,public_product_id,public_variant_id,public_sku_id,category,strength_size_options,current_price,compare_at_list_price,currency,stock_status,backorder,min_purchase,max_purchase,exact_public_quantity,source_url,extraction_method,captured_at,confidence,caveat
northlinelabs.org,Dihexa – Premium Research Peptide,https://northlinelabs.org/product/dihexa-premium-research-peptide/,49635,,RP-DIHEXA-P,NO BAC | Single Peptides / Compounds,,79.99,79.99,USD,in_stock,no,1,,,https://northlinelabs.org/wp-json/wc/store/v1/products?per_page=100&page=1,WooCommerce Store API,2026-07-28T20:43:44.412Z,high,Anonymous public Store API point-in-time capture. Binary stock and purchase limits are not sales or warehouse inventory.
northlinelabs.org,Semax/Selank Blend – Premium Research Peptide,https://northlinelabs.org/product/semax-selank-blend-premium-research-peptide/,43812,,RP-SEMSEL-P,Hormones / Advanced Analogs | NO BAC | Single Peptides / Compounds,,99.99,99.99,USD,in_stock,no,1,,,https://northlinelabs.org/wp-json/wc/store/v1/products?per_page=100&page=1,WooCommerce Store API,2026-07-28T20:43:44.412Z,high,Anonymous public Store API point-in-time capture. Binary stock and purchase limits are not sales or warehouse inventory.
northlinelabs.org,CJC-1295 with DAC – Premium Research Peptide,https://northlinelabs.org/product/cjc-1295-with-dac/,41617,,,NO BAC | Single Peptides / Compounds,,99.99,99.99,USD,in_stock,no,1,,,https://northlinelabs.org/wp-json/wc/store/v1/products?per_page=100&page=1,WooCommerce Store API,2026-07-28T20:43:44.412Z,high,Anonymous public Store API point-in-time capture. Binary stock and purchase limits are not sales or warehouse inventory.
northlinelabs.org,L-Carnitine – Premium Research Compound,https://northlinelabs.org/product/l-carnitine/,41615,,,NO BAC | Single Peptides / Compounds,,59.99,59.99,USD,in_stock,no,1,,,https://northlinelabs.org/wp-json/wc/store/v1/products?per_page=100&page=1,WooCommerce Store API,2026-07-28T20:43:44.412Z,high,Anonymous public Store API point-in-time capture. Binary stock and purchase limits are not sales or warehouse inventory.
northlinelabs.org,Adamax – Premium Research Peptide,https://northlinelabs.org/product/adamax-premium-research-peptide/,36140,,RP-ADAMAX-P,Hormones / Advanced Analogs | NO BAC | Single Peptides / Compounds,,69.99,69.99,USD,in_stock,no,1,,,https://northlinelabs.org/wp-json/wc/store/v1/products?per_page=100&page=1,WooCommerce Store API,2026-07-28T20:43:44.412Z,high,Anonymous public Store API point-in-time capture. Binary stock and purchase limits are not sales or warehouse inventory.
northlinelabs.org,Kisspeptin-10 – Premium Research Peptide,https://northlinelabs.org/product/kisspeptin-10-premium-research-peptide/,34476,,RP-KISS10-P,Hormones / Advanced Analogs | NO BAC | Single Peptides / Compounds,,99.99,99.99,USD,in_stock,no,1,,,https://northlinelabs.org/wp-json/wc/store/v1/products?per_page=100&page=1,WooCommerce Store API,2026-07-28T20:43:44.412Z,high,Anonymous public Store API point-in-time capture. Binary stock and purchase limits are not sales or warehouse inventory.
northlinelabs.org,Melanotan II – Premium Research Peptide,https://northlinelabs.org/product/melanotan-ii-premium-research-peptide/,34092,,RP-MT2-P,NO BAC | Single Peptides / Compounds,,69.99,69.99,USD,in_stock,no,1,,,https://northlinelabs.org/wp-json/wc/store/v1/products?per_page=100&page=1,WooCommerce Store API,2026-07-28T20:43:44.412Z,high,Anonymous public Store API point-in-time capture. Binary stock and purchase limits are not sales or warehouse inventory.
northlinelabs.org,Thymosin Alpha-1 – Premium Research Peptide,https://northlinelabs.org/product/thymosin-alpha-1-premium-research-peptide/,34086,,RP-TA1-P,NO BAC | Single Peptides / Compounds,,99.99,99.99,USD,in_stock,no,1,,,https://northlinelabs.org/wp-json/wc/store/v1/products?per_page=100&page=1,WooCommerce Store API,2026-07-28T20:43:44.412Z,high,Anonymous public Store API point-in-time capture. Binary stock and purchase limits are not sales or warehouse inventory.
northlinelabs.org,PT-141 – Premium Research Peptide,https://northlinelabs.org/product/pt-141/,26571,,pt-141-10mg,NO BAC | Single Peptides / Compounds,,89.99,89.99,USD,in_stock,no,1,,,https://northlinelabs.org/wp-json/wc/store/v1/products?per_page=100&page=1,WooCommerce Store API,2026-07-28T20:43:44.412Z,high,Anonymous public Store API point-in-time capture. Binary stock and purchase limits are not sales or warehouse inventory.
northlinelabs.org,Tesamorelin/Ipamorelin Blend – Premium Research Peptide,https://northlinelabs.org/product/tesamorelin-ipamorelin-blend/,26570,,tesa-ipa-blend-15mg,Blends | NO BAC,,109.99,109.99,USD,in_stock,no,1,,,https://northlinelabs.org/wp-json/wc/store/v1/products?per_page=100&page=1,WooCommerce Store API,2026-07-28T20:43:44.412Z,high,Anonymous public Store API point-in-time capture. Binary stock and purchase limits are not sales or warehouse inventory.
